,CE appliance,dish washer,electric space heater,electric stove,fridge,washer dryer,main
0,0.0,23.0,8.0,1.0,279.0,4.0,613.920043945
1,0.0,24.0,7.0,2.0,153.0,3.0,493.25
2,0.0,24.0,8.0,2.0,159.0,3.0,493.299987793
3,0.0,24.0,8.0,2.0,159.0,3.0,498.670013428
4,0.0,24.0,8.0,2.0,157.0,3.0,502.950012207
5,0.0,24.0,7.0,2.0,154.0,3.0,494.819976807
6,0.0,23.0,7.0,2.0,157.0,4.0,493.08001709
7,0.0,24.0,7.0,2.0,158.0,3.0,494.479980469
8,0.0,24.0,8.0,2.0,156.0,3.0,495.290008545
9,0.0,24.0,8.0,2.0,155.0,3.0,493.899993896
10,0.0,24.0,7.0,2.0,159.0,3.0,495.220001221
11,0.0,24.0,7.0,2.0,160.0,3.0,494.940002441
12,0.0,24.0,8.0,2.0,160.0,3.0,496.859985352
13,0.0,24.0,8.0,2.0,158.0,3.0,494.489990234
14,0.0,24.0,8.0,2.0,158.0,3.0,494.489990234
15,0.0,24.0,8.0,2.0,158.0,3.0,494.489990234
16,0.0,24.0,8.0,2.0,155.0,4.0,497.929992676
17,0.0,24.0,8.0,2.0,161.0,3.0,497.75
18,0.0,24.0,7.0,2.0,161.0,3.0,499.179992676
19,0.0,24.0,8.0,2.0,159.0,3.0,497.489990234
20,0.0,24.0,7.0,2.0,156.0,3.0,498.540008545
21,0.0,24.0,7.0,2.0,160.0,3.0,496.040008545
22,0.0,24.0,8.0,2.0,161.0,3.0,501.820007324
23,0.0,24.0,7.0,2.0,159.0,3.0,502.879974365
24,0.0,24.0,7.0,2.0,156.0,3.0,504.570007324
25,0.0,24.0,7.0,2.0,157.0,3.0,496.420013428
26,0.0,23.0,7.0,2.0,159.0,3.0,495.619995117
27,0.0,23.0,8.0,2.0,157.0,3.0,495.440002441
28,0.0,24.0,8.0,2.0,159.0,3.0,498.210021973
29,0.0,23.0,5.0,1.0,161.0,4.0,496.260009766
30,0.0,23.0,34.0,2.0,160.0,3.0,525.440002441
31,0.0,24.0,33.0,2.0,159.0,3.0,534.059997559
32,0.0,24.0,35.0,2.0,161.0,3.0,534.229980469
33,0.0,24.0,148.0,2.0,155.0,3.0,535.66003418
34,0.0,24.0,148.0,2.0,155.0,3.0,535.66003418
35,0.0,24.0,148.0,2.0,155.0,3.0,535.66003418
36,0.0,24.0,42.0,2.0,158.0,3.0,546.309997559
